Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curva,alpha_fuzzy,radio_curva
S,40,15.00,13.10,10.60,16.07,0.01,6.12,298.07,-207.85,33.37,0.50,0.08
L,40,24.70,24.90,0.00,0.32,0.03,0.00,17.26,-80.48,1.00,0.99,1.06
S,40,14.90,13.10,10.40,14.70,0.01,5.75,296.97,-205.26,34.10,0.50,0.10
L,40,25.40,24.90,0.00,0.33,-0.03,0.00,15.22,130.27,4.43,0.99,0.55
S,40,15.00,13.10,10.55,13.28,0.00,6.03,312.91,-187.87,34.71,0.50,0.11
L,40,29.00,24.90,0.00,0.24,-0.03,0.00,15.46,56.65,3.58,0.99,0.67
L,40,28.60,24.90,0.00,0.24,-0.03,0.00,14.06,47.92,1.73,0.99,0.44
S,40,16.60,13.10,13.17,11.94,-0.01,10.93,400.22,-161.44,33.81,0.45,0.12
L,40,27.80,24.90,0.00,0.03,-0.03,0.00,18.10,65.32,1.66,0.99,0.44
S,40,19.60,13.10,15.41,11.75,-0.01,20.05,471.11,-153.70,32.79,0.08,0.10
L,40,26.40,24.90,0.00,0.03,-0.03,0.00,18.01,59.69,1.14,0.99,0.61
S,40,24.00,13.10,16.61,12.46,-0.07,33.62,505.16,35.23,31.06,0.09,0.08
L,40,27.70,24.90,0.00,0.02,-0.03,0.00,17.97,75.59,0.71,0.99,0.61
S,40,25.60,13.10,23.70,13.74,-0.02,35.00,680.79,-211.33,27.05,0.43,0.05
S,40,25.80,13.10,22.95,15.81,-0.01,35.00,665.29,-154.72,20.42,0.40,0.04
L,40,27.20,24.90,0.00,0.02,-0.03,0.00,17.98,69.44,0.45,0.99,0.61
S,40,26.30,13.10,22.40,18.87,-0.01,35.00,612.25,-141.02,21.25,0.37,0.04
L,40,27.90,24.90,0.00,0.01,-0.03,0.00,18.02,81.82,0.28,0.99,0.61
S,40,25.30,13.10,23.54,20.85,-0.02,35.00,611.12,-132.63,22.87,0.43,0.04
L,40,31.20,24.90,0.00,0.01,-0.03,0.00,18.06,83.78,0.18,0.99,0.61
L,40,28.00,24.90,0.00,0.01,-0.03,0.00,18.08,87.13,0.11,0.99,0.61
S,40,24.50,13.10,23.86,21.89,-0.02,35.00,607.83,-121.63,23.54,0.44,0.04
L,40,25.70,24.90,0.00,0.00,-0.03,0.00,18.10,99.01,0.07,0.99,0.61
S,40,24.00,13.10,23.53,22.30,-0.07,34.30,600.09,81.94,22.95,0.44,0.04
S,41,22.90,13.10,22.33,22.58,-0.07,30.94,568.44,12.65,20.22,0.46,0.03
L,40,26.90,24.90,0.00,-0.02,-0.03,0.00,0.52,114.24,0.08,0.99,0.61
L,40,28.30,24.90,0.00,-0.04,-0.03,0.00,1.23,74.17,0.31,0.99,0.61
S,41,22.60,13.10,21.94,22.44,-0.02,29.99,560.58,-169.48,8.56,0.46,0.02
L,40,22.60,24.90,0.00,-0.17,0.02,0.00,4.91,-124.41,0.98,0.99,0.61
S,41,21.20,13.10,22.27,21.36,-0.02,25.95,594.39,-98.19,7.12,0.66,0.01
L,40,29.80,24.90,0.00,-0.13,0.02,0.00,4.70,-46.33,0.53,0.99,0.61
S,40,20.80,13.10,19.67,21.92,-0.07,24.53,517.06,121.05,11.25,0.49,0.02
L,40,29.00,24.90,0.00,-0.04,-0.03,0.00,3.18,155.02,4.04,0.99,0.61
S,40,20.10,13.10,18.67,21.17,-0.08,22.28,497.58,63.48,10.36,0.50,0.02
L,40,27.20,24.90,0.00,0.10,-0.03,0.00,-0.27,72.07,1.41,0.99,0.61
S,41,19.50,13.10,20.46,19.98,-0.07,20.91,560.98,43.75,2.70,0.92,0.00
L,40,26.50,24.90,0.00,-0.38,0.15,0.00,11.75,-601.21,4.08,0.99,0.61
S,41,18.50,13.10,18.02,19.59,-0.02,18.23,510.00,-135.13,2.45,0.93,0.01
L,40,25.30,24.90,0.00,-0.05,-0.03,0.00,5.29,332.38,9.64,0.99,0.61
S,40,17.70,13.10,15.90,19.59,-0.01,16.00,445.53,-67.57,3.17,0.90,0.00
L,40,28.20,24.90,0.00,0.27,-0.10,0.00,-2.79,327.34,11.98,0.99,0.61
S,40,17.50,13.10,15.50,19.06,-0.02,15.55,427.35,-40.04,2.72,0.91,0.01
L,40,22.60,24.90,0.00,0.04,0.15,0.00,1.62,-689.07,2.14,0.99,0.61
S,41,16.20,13.10,12.11,17.98,-0.07,11.49,345.34,145.54,6.64,0.83,0.02
L,40,26.10,24.90,0.00,-0.20,0.03,0.00,7.58,105.46,1.32,0.99,0.61
S,40,16.10,13.10,11.73,16.52,-0.02,11.06,339.61,-93.68,5.00,0.83,0.00
L,40,27.20,24.90,0.00,0.08,-0.04,0.00,1.60,172.92,13.65,0.99,0.61
S,40,15.30,13.10,8.88,15.30,-0.01,8.82,269.31,-39.53,0.50,0.99,0.00
L,40,27.60,24.90,0.00,-0.01,-0.09,0.00,3.32,272.48,6.63,0.99,0.61
S,40,14.90,13.10,7.87,13.63,-0.02,7.71,249.19,-21.65,0.83,0.98,0.01
L,40,26.40,24.90,0.00,-0.08,0.03,0.00,5.35,-250.09,2.37,0.99,0.61
S,40,14.40,13.10,6.38,12.11,-0.02,6.30,216.37,-12.32,2.30,0.99,0.01
L,40,27.00,24.90,0.00,-0.11,0.06,0.00,6.47,-164.20,6.05,0.99,0.61
S,40,13.80,13.10,4.63,10.69,-0.02,4.53,174.72,-9.89,2.99,0.99,0.01
L,40,25.50,24.90,0.00,-0.01,-0.03,0.00,4.48,183.23,3.17,0.99,0.61
S,40,13.80,13.10,4.66,9.27,-0.07,4.56,177.39,171.81,2.68,0.99,0.01
L,40,27.80,24.90,0.00,0.13,-0.03,0.00,0.91,68.70,4.56,0.99,0.61
S,40,13.50,13.10,3.76,7.84,-0.02,3.67,164.50,-83.03,0.57,0.99,0.00
L,40,29.50,24.90,0.00,-0.37,-0.03,0.00,13.19,53.60,2.94,0.99,0.61
S,40,13.30,13.10,0.18,6.74,-0.01,0.00,0.00,0.00,4.41,0.99,0.02
L,40,29.80,24.90,0.00,-0.01,0.03,0.00,6.05,-133.85,2.33,0.99,0.61
S,40,12.80,13.10,0.19,5.38,-0.01,0.00,0.00,0.00,5.19,0.99,0.04
L,40,28.30,24.90,0.00,-0.02,-0.03,0.00,6.33,141.82,1.24,0.99,0.61
S,40,12.80,13.10,0.18,3.75,-0.01,0.00,0.00,0.00,4.68,0.99,0.04
L,40,31.00,24.90,0.00,-0.02,0.02,0.00,6.31,-121.92,0.83,0.99,0.61
S,40,12.80,13.10,0.16,2.34,-0.01,0.00,0.00,0.00,3.10,0.99,0.05
L,40,28.90,24.90,0.00,0.25,0.03,0.00,-0.41,-58.02,0.15,0.99,0.61
S,40,12.60,13.10,0.14,1.49,-0.01,0.00,0.00,0.00,1.97,0.99,0.05
L,40,26.90,24.90,0.00,0.15,0.14,0.00,0.55,-465.38,3.24,0.99,0.61
S,40,13.00,13.10,0.13,0.92,-0.01,0.00,0.00,0.00,1.25,0.99,0.05
L,40,25.90,24.90,0.00,0.05,-0.09,0.00,2.41,522.89,7.62,0.99,0.61
S,40,13.00,13.10,0.12,0.11,-0.01,0.00,0.00,0.00,0.61,0.99,0.05
L,40,28.00,24.90,0.00,0.08,-0.11,0.00,1.33,244.02,7.71,0.99,0.61
S,40,12.90,13.10,0.12,0.12,-0.01,0.00,0.00,0.00,0.38,0.99,0.05
S,40,12.80,13.10,0.12,0.10,-0.01,0.00,0.00,0.00,0.24,0.99,0.05
L,40,27.90,24.90,0.00,-0.01,-0.03,0.00,3.17,-42.36,9.88,0.99,0.61
L,40,30.90,24.90,0.00,-0.08,0.06,0.00,5.03,-235.15,15.93,0.99,0.61
S,40,12.60,13.10,0.12,0.08,-0.01,0.00,0.00,0.00,0.15,0.99,0.05
L,40,28.10,24.90,0.00,-0.09,0.03,0.00,5.89,-12.73,7.42,0.99,0.61
S,40,12.50,13.10,0.13,0.05,-0.01,0.00,0.00,0.00,0.09,0.99,0.05
L,40,28.20,24.90,0.00,0.06,-0.03,0.00,2.47,157.82,2.27,0.99,0.61
S,40,13.00,13.10,0.12,0.04,-0.01,0.00,0.00,0.00,0.06,0.99,0.05
L,40,27.30,24.90,0.00,0.07,-0.03,0.00,-1.94,114.76,0.39,0.99,0.61
S,40,12.80,13.10,0.12,0.02,-0.01,0.00,0.00,0.00,0.04,0.99,0.05
L,40,26.90,24.90,0.00,-0.06,0.15,0.00,1.13,-575.67,3.57,0.99,0.61
S,40,12.80,13.10,0.12,0.02,-0.01,0.00,0.00,0.00,0.02,0.99,0.05
L,40,26.80,24.90,0.00,-0.08,0.02,0.00,2.07,112.02,2.41,0.99,0.61
S,40,12.90,13.10,0.12,0.01,-0.01,0.00,0.00,0.00,0.01,0.99,0.05
L,40,26.90,24.90,0.00,-0.02,-0.11,0.00,1.01,403.95,17.01,0.99,0.61
S,40,12.90,13.10,0.12,0.01,-0.01,0.00,0.00,0.00,0.01,0.99,0.05
L,40,27.70,24.90,0.00,-0.04,-0.10,0.00,1.60,191.17,8.07,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.01,0.99,0.05
L,40,28.60,24.90,0.00,-0.14,0.03,0.00,4.38,-239.67,7.11,0.99,0.61
S,40,12.70,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,30.60,24.90,0.00,-0.13,0.06,0.00,4.90,-166.12,9.66,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.10,24.90,0.00,-0.05,0.03,0.00,3.57,-13.14,0.40,0.99,0.61
S,40,12.70,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,25.00,24.90,0.00,0.05,-0.03,0.00,1.30,151.36,5.58,0.99,0.61
S,40,12.90,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,28.70,24.90,0.00,0.07,-0.03,0.00,0.51,63.02,2.10,0.99,0.61
S,40,12.60,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.50,24.90,0.00,-0.39,0.02,0.00,12.12,-135.12,3.94,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.80,24.90,0.00,-0.01,0.03,0.00,4.52,-58.48,0.25,0.99,0.61
S,40,13.00,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,23.20,24.90,0.00,0.28,-0.03,0.00,-3.16,147.08,3.52,0.99,0.61
S,40,12.90,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,28.40,24.90,0.00,0.05,0.13,0.00,1.18,-535.23,0.37,0.99,0.61
S,40,13.10,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.50,24.90,0.00,-0.14,-0.03,0.00,5.89,296.56,5.42,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.40,24.90,0.00,0.01,-0.11,0.00,2.77,321.75,12.10,0.99,0.61
S,40,12.90,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,25.10,24.90,0.00,0.03,-0.03,0.00,2.15,-30.93,0.24,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,30.40,24.90,0.00,0.01,0.03,0.00,2.57,-153.79,9.44,0.99,0.61
S,40,12.70,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.30,24.90,0.00,-0.12,0.03,0.00,6.03,-62.94,5.42,0.99,0.61
S,40,12.90,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.90,24.90,0.00,0.10,0.03,0.00,0.94,-53.62,0.02,0.99,0.61
S,40,12.90,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,28.10,24.90,0.00,0.06,0.02,0.00,1.30,-57.89,0.77,0.99,0.61
S,40,12.70,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.30,24.90,0.00,0.04,0.03,0.00,1.51,-72.14,0.50,0.99,0.61
S,40,12.70,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,28.10,24.90,0.00,0.03,0.03,0.00,1.66,-73.67,0.56,0.99,0.61
S,40,12.50,13.10,0.13,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,22.30,24.90,0.00,0.02,0.03,0.00,1.76,-77.80,0.36,0.99,0.61
S,40,12.70,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,28.60,24.90,0.00,0.20,0.03,0.00,-3.15,-83.24,0.57,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.00,24.90,0.00,0.02,0.13,0.00,0.45,-471.32,0.77,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.90,24.90,0.00,0.00,-0.04,0.00,0.76,280.54,6.99,0.99,0.61
S,40,13.00,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.10,24.90,0.00,0.04,-0.11,0.00,-0.31,286.62,8.65,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,25.20,24.90,0.00,-0.02,0.12,0.00,0.95,-643.45,2.42,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.00,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.90,24.90,0.00,-0.24,-0.03,0.00,6.83,243.61,0.11,0.99,0.61
S,40,12.90,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,29.30,24.90,0.00,0.05,-0.10,0.00,0.74,287.26,10.88,0.99,0.61
S,40,12.90,13.10,0.12,0.00,-0.00,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.80,24.90,0.00,0.00,-0.03,0.00,1.66,-60.07,0.73,0.99,0.61
S,40,13.10,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,25.20,24.90,0.00,-0.02,0.03,0.00,2.17,-165.85,6.22,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.00,24.90,0.00,-0.12,-0.03,0.00,4.88,135.36,1.58,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,28.70,24.90,0.00,0.10,-0.03,0.00,-0.21,47.42,1.22,0.99,0.61
S,40,12.70,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.90,24.90,0.00,0.06,0.12,0.00,0.44,-505.05,2.76,0.99,0.61
S,40,13.10,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,30.60,24.90,0.00,-0.00,-0.03,0.00,1.69,261.47,2.88,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.50,24.90,0.00,0.01,-0.10,0.00,1.22,300.93,8.96,0.99,0.61
S,40,13.10,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,28.50,24.90,0.00,-0.15,-0.03,0.00,5.38,-45.17,3.09,0.99,0.61
S,40,13.00,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,25.70,24.90,0.00,0.11,0.03,0.00,-0.41,-151.64,6.75,0.99,0.61
S,40,13.00,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,25.30,24.90,0.00,-0.09,0.12,0.00,4.23,-403.66,0.93,0.99,0.61
S,40,13.10,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.90,24.90,0.00,0.19,-0.10,0.00,-2.71,509.32,8.57,0.99,0.61
S,40,13.10,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.90,24.90,0.00,0.03,-0.11,0.00,-0.68,399.14,8.98,0.99,0.61
S,40,13.10,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.90,24.90,0.00,-0.06,0.11,0.00,1.32,-540.32,2.34,0.99,0.61
S,40,13.00,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,29.80,24.90,0.00,-0.13,-0.03,0.00,3.55,288.38,5.30,0.99,0.61
S,40,13.00,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.00,24.90,0.00,0.07,-0.10,0.00,-0.87,328.34,3.81,0.99,0.61
S,40,13.10,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.90,24.90,0.00,0.04,0.12,0.00,-0.45,-553.84,5.35,0.99,0.61
S,40,13.20,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,28.50,24.90,0.00,-0.07,0.11,0.00,2.18,-239.94,6.76,0.99,0.61
S,40,12.80,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,25.80,24.90,0.00,0.02,-0.10,0.00,0.33,524.87,12.35,0.99,0.61
S,40,13.00,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.50,24.90,0.00,0.02,-0.11,0.00,0.11,260.10,13.88,0.99,0.61
S,40,13.20,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,29.70,24.90,0.00,-0.05,-0.04,0.00,1.76,-5.39,5.89,0.99,0.61
S,40,13.00,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,29.60,24.90,0.00,-0.14,0.03,0.00,4.38,-134.16,14.45,0.99,0.61
S,40,13.00,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.10,24.90,0.00,-0.00,0.03,0.00,1.69,-37.14,10.48,0.99,0.61
S,40,13.00,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,31.10,24.90,0.00,0.02,0.03,0.00,1.14,-38.16,2.55,0.99,0.61
S,40,12.90,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.80,24.90,0.00,0.08,0.02,0.00,-0.55,-33.09,0.97,0.99,0.61
S,40,12.90,13.10,0.12,0.00,-0.00,0.00,0.00,0.00,0.00,0.99,0.05
L,40,28.90,24.90,0.00,0.05,0.12,0.00,-0.26,-390.89,0.62,0.99,0.61
S,40,13.10,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.40,24.90,0.00,0.08,0.11,0.00,-1.35,-231.06,2.65,0.99,0.61
S,40,13.00,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.60,24.90,0.00,0.15,0.09,0.00,-3.60,-194.12,13.80,0.99,0.61
S,40,13.10,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,27.60,24.90,0.00,0.21,-0.13,0.00,-5.40,484.55,20.45,0.99,0.61
S,40,13.40,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
S,40,13.30,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,26.40,24.90,0.00,0.17,-0.13,0.00,-4.41,486.06,13.90,0.99,0.61
L,40,28.10,24.90,25.00,0.02,-0.11,0.00,652.39,421.33,4.12,0.99,0.61
S,40,13.40,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,28.10,24.90,25.00,10.28,-0.04,0.00,529.54,-9.49,18.63,0.99,0.17
S,40,13.00,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,28.30,24.90,25.00,12.88,0.06,0.00,547.35,-238.42,24.44,0.99,0.10
S,40,13.20,13.10,0.12,0.00,-0.01,0.00,0.00,0.00,0.00,0.99,0.05
L,40,24.90,24.90,25.00,14.80,0.06,0.00,567.57,-108.11,15.28,0.99,0.03
S,40,14.70,13.10,5.02,0.00,-0.01,4.93,131.21,24.97,0.00,0.99,0.05
L,40,28.30,24.90,25.00,16.46,-0.03,0.00,583.50,211.06,1.82,0.99,0.01
S,40,14.80,13.10,5.46,0.31,-0.01,5.36,163.67,13.52,0.03,0.99,0.05
L,40,26.70,24.90,25.00,17.91,-0.10,0.00,595.16,317.78,2.80,0.99,0.01
S,40,15.50,13.10,7.73,1.06,-0.00,7.65,233.40,11.04,0.44,0.99,0.02
L,40,28.70,24.90,25.00,19.13,0.03,0.00,604.64,-210.71,5.43,0.99,0.02
S,41,16.40,13.10,10.75,2.41,-0.00,10.61,316.73,9.58,0.88,0.97,0.01
L,40,30.70,24.90,25.00,20.39,0.07,0.00,605.73,-175.31,11.95,0.99,0.02
S,41,16.60,13.10,11.62,7.61,-0.00,11.46,252.80,7.26,1.11,0.96,0.01
L,40,28.40,24.90,25.00,20.81,0.06,0.00,621.64,-118.53,2.91,0.99,0.01
S,41,17.10,13.10,13.32,7.80,-0.00,13.26,316.32,6.05,0.91,0.97,0.00
L,40,27.30,24.90,25.00,21.43,0.03,0.00,629.81,-15.87,6.80,0.99,0.02
S,40,17.90,13.10,16.00,8.20,-0.00,16.02,407.82,4.49,0.75,0.98,0.00
L,40,25.10,24.90,25.00,22.09,0.06,0.00,633.44,-168.00,12.08,0.99,0.02
S,40,18.60,13.10,18.43,9.82,0.00,18.52,474.43,-2.01,0.97,0.97,0.00
L,40,28.80,24.90,25.00,22.61,0.03,0.00,636.80,-37.36,13.15,0.99,0.03
S,40,19.50,13.10,21.47,11.26,0.00,21.67,566.33,-11.61,1.23,0.97,0.00
L,40,28.80,24.90,25.00,22.95,0.03,0.00,641.81,-80.21,16.13,0.99,0.03
S,40,20.10,13.10,23.94,14.40,0.01,24.01,607.96,-21.62,0.44,0.99,0.00
L,40,30.50,24.90,25.00,23.02,0.03,0.00,651.79,-91.65,15.67,0.99,0.02
S,40,20.40,13.10,25.38,16.13,0.01,25.47,656.07,-32.93,0.23,0.99,0.00
L,40,27.30,24.90,25.00,23.34,0.06,0.00,654.88,-204.95,15.39,0.99,0.03
S,40,20.50,13.10,25.70,18.68,0.01,26.20,651.30,-35.80,1.75,0.95,0.01
L,40,28.00,24.90,25.00,23.68,0.06,0.00,655.68,-180.72,16.89,0.99,0.03
S,40,20.30,13.10,24.67,20.72,0.02,25.77,611.93,-38.88,3.42,0.90,0.01
L,40,25.90,24.90,25.00,24.01,0.06,0.00,654.81,-176.15,21.03,0.99,0.05
S,40,20.20,13.10,23.70,21.89,0.02,25.37,579.00,-48.05,4.75,0.84,0.01
L,40,28.40,24.90,25.00,24.10,0.03,0.00,658.24,-84.40,25.41,0.99,0.05
S,40,20.10,13.10,23.04,22.46,0.02,24.87,557.41,-42.21,5.20,0.81,0.01
L,40,29.90,24.90,25.00,23.99,0.03,0.00,666.41,-126.59,26.82,0.99,0.04
S,41,20.10,13.10,22.48,22.13,0.01,24.59,554.81,-40.57,5.77,0.78,0.01
L,40,35.30,24.90,25.00,25.93,0.03,0.00,621.46,-125.64,25.68,0.99,0.04
S,40,20.40,13.10,22.81,21.61,0.01,25.23,579.03,-41.90,6.00,0.76,0.01
L,40,34.90,24.90,25.00,24.13,0.03,0.00,663.23,-132.59,25.09,0.99,0.04
S,40,20.30,13.10,21.62,20.85,0.01,24.50,574.93,-32.04,6.87,0.70,0.01
L,40,37.50,24.90,25.00,24.18,0.02,0.00,666.95,-131.55,25.03,0.99,0.04
S,40,20.80,13.10,22.42,21.40,0.01,25.72,585.98,-26.61,6.89,0.69,0.01
L,40,38.70,24.90,25.00,24.52,-0.03,0.00,662.84,68.19,25.02,0.99,0.04
S,41,21.00,13.10,23.41,21.28,0.00,26.30,621.16,-17.91,6.25,0.74,0.01
L,40,45.70,24.90,25.00,24.68,0.02,0.00,661.40,-213.08,22.48,0.99,0.02
S,41,20.70,13.10,23.12,21.81,-0.00,25.44,612.14,-13.77,5.77,0.78,0.01
L,40,42.80,24.90,25.00,25.25,0.03,0.00,648.44,-161.26,18.18,0.99,0.03
S,40,20.80,13.10,23.93,21.90,-0.01,25.88,638.76,-2.64,5.05,0.82,0.01
L,40,45.70,24.90,25.00,24.98,0.03,0.00,654.09,-155.04,21.08,0.99,0.04
S,40,20.50,13.10,24.27,22.77,-0.01,25.30,636.69,-0.81,3.37,0.90,0.01
L,40,42.30,24.90,25.00,24.72,0.03,0.00,660.80,-150.94,23.78,0.99,0.04
S,41,20.60,13.10,25.44,22.86,-0.01,26.04,673.97,11.71,2.06,0.95,0.00
L,40,40.40,24.90,25.00,24.64,0.02,0.00,664.64,-150.79,25.74,0.99,0.04
S,40,21.40,13.10,28.04,23.34,-0.01,28.89,744.30,7.92,0.82,0.94,0.00
L,40,38.40,24.90,25.00,24.79,-0.04,0.00,662.88,64.22,26.87,0.99,0.04
S,40,20.50,13.10,26.66,24.20,-0.01,26.75,713.02,11.01,0.30,0.99,0.00
L,40,33.60,24.90,25.00,24.84,-0.03,0.00,662.69,-35.14,25.59,0.99,0.02
S,40,21.10,13.10,28.41,25.12,-0.01,29.00,749.10,16.60,0.27,0.96,0.00
L,40,33.80,24.90,25.00,24.69,0.03,0.00,667.55,-245.90,16.43,0.99,0.01
S,40,21.20,13.10,28.98,25.98,-0.06,29.70,760.59,203.53,0.87,0.95,0.00
L,40,31.80,24.90,25.00,24.87,0.03,0.00,664.69,-165.60,17.28,0.99,0.03
S,40,21.50,13.10,28.20,26.81,-0.01,30.48,736.01,-41.20,4.21,0.85,0.01
L,40,29.40,24.90,25.00,26.43,0.03,0.00,624.74,-165.14,22.32,0.99,0.04
S,40,22.00,13.10,22.14,27.43,-0.01,29.93,569.66,17.10,11.13,0.48,0.02
L,40,27.70,24.90,25.00,25.12,0.03,0.00,650.60,-173.77,25.84,0.99,0.05
S,41,21.50,13.10,21.08,26.94,-0.01,27.47,523.13,25.15,8.80,0.49,0.01
L,40,26.90,24.90,25.00,25.51,0.03,0.00,639.76,-163.75,28.15,0.98,0.05
S,40,19.30,13.10,18.97,25.00,-0.01,20.68,484.67,25.07,6.86,0.70,0.01
L,40,26.00,24.90,25.00,24.65,-0.03,0.00,659.26,28.92,29.43,0.98,0.05
S,40,20.30,13.10,21.89,23.01,-0.01,23.80,577.81,22.87,5.72,0.78,0.01
L,40,26.10,24.90,25.00,24.48,-0.03,0.00,665.61,-44.88,27.63,0.99,0.03
S,40,19.20,13.10,19.26,21.42,-0.00,20.50,544.16,17.23,5.83,0.78,0.01
L,40,25.50,24.90,25.00,24.51,0.03,0.00,667.91,-248.97,21.56,0.99,0.02
S,40,18.90,13.10,18.81,20.51,-0.00,19.66,543.49,12.23,5.15,0.82,0.01
L,40,25.10,24.90,25.00,24.62,0.03,0.00,667.87,-173.59,20.17,0.99,0.03
S,40,18.90,13.10,19.07,20.21,0.00,19.79,548.31,7.57,4.51,0.85,0.01
L,40,25.50,24.90,25.00,24.81,0.02,0.00,665.14,-160.07,24.19,0.99,0.05
S,40,19.10,13.10,19.99,20.07,0.01,20.60,569.32,-7.66,3.62,0.89,0.00
